hebrew_name,video_url,tracking_unit,position,intesity,english_name,english_description,hebrew_description
מכרע-בולגרי,https://www.youtube.com/watch?v=uEbPb2_g7YE,WEIGHT,standing,hard,Bulgarian Split Squat,"The exercise 'Bulgarian Split Squat' is designed to enhance physical fitness by targeting specific muscle groups. It improves strength, flexibility, and overall endurance.","התרגיל 'מכרע-בולגרי' נועד לשפר את הכושר הגופני תוך מיקוד קבוצות שרירים ספציפיות. הוא משפר את החוזק, הגמישות והסיבולת הכללית."
כפיפת ברכיים משקולות יד בשכיבה,https://www.youtube.com/watch?v=O_IU16nj4zQ,WEIGHT,supine,low,Lying Dumbbell Leg Curl,"The exercise 'Lying Dumbbell Leg Curl' is designed to enhance physical fitness by targeting specific muscle groups. It improves strength, flexibility, and overall endurance.","התרגיל 'כפיפת ברכיים משקולות יד בשכיבה' נועד לשפר את הכושר הגופני תוך מיקוד קבוצות שרירים ספציפיות. הוא משפר את החוזק, הגמישות והסיבולת הכללית."
דדליפט-סטיף-לג איבר-בודד,https://www.youtube.com/watch?v=k6KRD5OGRQk,WEIGHT,standing,hard,Single-Leg Stiff leg Deadlift,"The exercise 'Single-Leg Stiff leg Deadlift' is designed to enhance physical fitness by targeting specific muscle groups. It improves strength, flexibility, and overall endurance.","התרגיל 'דדליפט-סטיף-לג איבר-בודד' נועד לשפר את הכושר הגופני תוך מיקוד קבוצות שרירים ספציפיות. הוא משפר את החוזק, הגמישות והסיבולת הכללית."
לחיצת חזה משקולות יד בשיפוע חיובי,https://www.youtube.com/watch?v=6K-_MBPSLV4,WEIGHT,supine,hard,Incline Dumbbell Chest Press,"The exercise 'Incline Dumbbell Chest Press' is designed to enhance physical fitness by targeting specific muscle groups. It improves strength, flexibility, and overall endurance.","התרגיל 'לחיצת חזה משקולות יד בשיפוע חיובי' נועד לשפר את הכושר הגופני תוך מיקוד קבוצות שרירים ספציפיות. הוא משפר את החוזק, הגמישות והסיבולת הכללית."
פולאובר בפולי חבל,https://www.youtube.com/watch?v=VFYgDIrs7j4,WEIGHT,standing,medium,Pullover with Rope Cable,"The exercise 'Pullover with Rope Cable' is designed to enhance physical fitness by targeting specific muscle groups. It improves strength, flexibility, and overall endurance.","התרגיל 'פולאובר בפולי חבל' נועד לשפר את הכושר הגופני תוך מיקוד קבוצות שרירים ספציפיות. הוא משפר את החוזק, הגמישות והסיבולת הכללית."
סקוואט גובלט,https://www.youtube.com/watch?v=9UIcagXyXks,WEIGHT,standing,medium,Goblet Squat,"The exercise 'Goblet Squat' is designed to enhance physical fitness by targeting specific muscle groups. It improves strength, flexibility, and overall endurance.","התרגיל 'סקוואט גובלט' נועד לשפר את הכושר הגופני תוך מיקוד קבוצות שרירים ספציפיות. הוא משפר את החוזק, הגמישות והסיבולת הכללית."
לחיצת חזה מוט חופשי בשיפוע חיובי,https://www.youtube.com/watch?v=rz8wiN16BNc,WEIGHT,supine,hard,Incline barbell bench press,"The exercise 'Incline barbell bench press' is designed to enhance physical fitness by targeting specific muscle groups. It improves strength, flexibility, and overall endurance.","התרגיל 'לחיצת חזה מוט חופשי בשיפוע חיובי' נועד לשפר את הכושר הגופני תוך מיקוד קבוצות שרירים ספציפיות. הוא משפר את החוזק, הגמישות והסיבולת הכללית."
חתירה משקולות יד איבר-בודד,https://www.youtube.com/watch?v=OSV1cEPoSL0,WEIGHT,,medium,Single-Arm Dumbbell Row,"The exercise 'Single-Arm Dumbbell Row' is designed to enhance physical fitness by targeting specific muscle groups. It improves strength, flexibility, and overall endurance.","התרגיל 'חתירה משקולות יד איבר-בודד' נועד לשפר את הכושר הגופני תוך מיקוד קבוצות שרירים ספציפיות. הוא משפר את החוזק, הגמישות והסיבולת הכללית."
חתירה דמוי tbar בפולי תחתון,https://www.youtube.com/watch?v=i-rRp-L0cYc,WEIGHT,standing,medium,T-Bar Row on Low Pulley Cable,"The exercise 'T-Bar Row on Low Pulley Cable' is designed to enhance physical fitness by targeting specific muscle groups. It improves strength, flexibility, and overall endurance.","התרגיל 'חתירה דמוי tbar בפולי תחתון' נועד לשפר את הכושר הגופני תוך מיקוד קבוצות שרירים ספציפיות. הוא משפר את החוזק, הגמישות והסיבולת הכללית."
גוד-מורנינג,https://www.youtube.com/watch?v=zKvLlIWMeP8,WEIGHT,,hard,Barbell Good Morning,"The exercise 'Barbell Good Morning' is designed to enhance physical fitness by targeting specific muscle groups. It improves strength, flexibility, and overall endurance.","התרגיל 'גוד-מורנינג' נועד לשפר את הכושר הגופני תוך מיקוד קבוצות שרירים ספציפיות. הוא משפר את החוזק, הגמישות והסיבולת הכללית."
פולאובר משקולות יד,https://www.youtube.com/watch?v=eD6u3ZrclHs,WEIGHT,,medium,Dumbbell Pullover,"The exercise 'Dumbbell Pullover' is designed to enhance physical fitness by targeting specific muscle groups. It improves strength, flexibility, and overall endurance.","התרגיל 'פולאובר משקולות יד' נועד לשפר את הכושר הגופני תוך מיקוד קבוצות שרירים ספציפיות. הוא משפר את החוזק, הגמישות והסיבולת הכללית."
באק סקוואט,https://www.youtube.com/watch?v=3LZSbAE2B0Y,WEIGHT,standing,medium,Back Squat,"The exercise 'Back Squat' is designed to enhance physical fitness by targeting specific muscle groups. It improves strength, flexibility, and overall endurance.","התרגיל 'באק סקוואט' נועד לשפר את הכושר הגופני תוך מיקוד קבוצות שרירים ספציפיות. הוא משפר את החוזק, הגמישות והסיבולת הכללית."
משיכה בפולי אחיזה צרה,https://www.youtube.com/watch?v=97lFbdgHO70,WEIGHT,seating,low,Close Grip Lat Pulldown,"The exercise 'Close Grip Lat Pulldown' is designed to enhance physical fitness by targeting specific muscle groups. It improves strength, flexibility, and overall endurance.","התרגיל 'משיכה בפולי אחיזה צרה' נועד לשפר את הכושר הגופני תוך מיקוד קבוצות שרירים ספציפיות. הוא משפר את החוזק, הגמישות והסיבולת הכללית."
פולאובר בפולי מוט,https://www.youtube.com/watch?v=iicPW0FmxNY,WEIGHT,standing,medium,Pullover with Bar Cable,"The exercise 'Pullover with Bar Cable' is designed to enhance physical fitness by targeting specific muscle groups. It improves strength, flexibility, and overall endurance.","התרגיל 'פולאובר בפולי מוט' נועד לשפר את הכושר הגופני תוך מיקוד קבוצות שרירים ספציפיות. הוא משפר את החוזק, הגמישות והסיבולת הכללית."
חתירה בפולי תחתון משולש,https://www.youtube.com/watch?v=lJ5k05ho570,WEIGHT,seating,medium,Seated Triangle Row,"The exercise 'Seated Triangle Row' is designed to enhance physical fitness by targeting specific muscle groups. It improves strength, flexibility, and overall endurance.","התרגיל 'חתירה בפולי תחתון משולש' נועד לשפר את הכושר הגופני תוך מיקוד קבוצות שרירים ספציפיות. הוא משפר את החוזק, הגמישות והסיבולת הכללית."
דדליפט-סומו,https://www.youtube.com/watch?v=lGzbhHc6QqM,WEIGHT,standing,hard,Sumo Deadlift,"The exercise 'Sumo Deadlift' is designed to enhance physical fitness by targeting specific muscle groups. It improves strength, flexibility, and overall endurance.","התרגיל 'דדליפט-סומו' נועד לשפר את הכושר הגופני תוך מיקוד קבוצות שרירים ספציפיות. הוא משפר את החוזק, הגמישות והסיבולת הכללית."
כפיפת ברכיים בפולי תחתון רצועות איבר-בודד,https://www.youtube.com/watch?v=5Pp6SAbOU7g,WEIGHT,standing,medium,Single-Leg Cable Leg Curl,"The exercise 'Single-Leg Cable Leg Curl' is designed to enhance physical fitness by targeting specific muscle groups. It improves strength, flexibility, and overall endurance.","התרגיל 'כפיפת ברכיים בפולי תחתון רצועות איבר-בודד' נועד לשפר את הכושר הגופני תוך מיקוד קבוצות שרירים ספציפיות. הוא משפר את החוזק, הגמישות והסיבולת הכללית."
עליית מתח,https://www.youtube.com/watch?v=zCU06mKfTNA,WEIGHT,standing,medium,Pull-up,"The exercise 'Pull-up' is designed to enhance physical fitness by targeting specific muscle groups. It improves strength, flexibility, and overall endurance.","התרגיל 'עליית מתח' נועד לשפר את הכושר הגופני תוך מיקוד קבוצות שרירים ספציפיות. הוא משפר את החוזק, הגמישות והסיבולת הכללית."
הרמת שכמות בפולי תחתון בעמידה,https://www.youtube.com/watch?v=4sn8jmiJ4TQ,WEIGHT,standing,low,Standing Low Pulley SHRUGS,"The exercise 'Standing Low Pulley SHRUGS' is designed to enhance physical fitness by targeting specific muscle groups. It improves strength, flexibility, and overall endurance.","התרגיל 'הרמת שכמות בפולי תחתון בעמידה' נועד לשפר את הכושר הגופני תוך מיקוד קבוצות שרירים ספציפיות. הוא משפר את החוזק, הגמישות והסיבולת הכללית."
מכרעים-בהליכה,https://www.youtube.com/watch?v=mEOAoRkNOoA,WEIGHT,standing,medium,Walking Lunges,"The exercise 'Walking Lunges' is designed to enhance physical fitness by targeting specific muscle groups. It improves strength, flexibility, and overall endurance.","התרגיל 'מכרעים-בהליכה' נועד לשפר את הכושר הגופני תוך מיקוד קבוצות שרירים ספציפיות. הוא משפר את החוזק, הגמישות והסיבולת הכללית."
דדליפט-קלאסי,https://www.youtube.com/watch?v=y7XUiRszcng,WEIGHT,standing,hard,Classic Deadlift,"The exercise 'Classic Deadlift' is designed to enhance physical fitness by targeting specific muscle groups. It improves strength, flexibility, and overall endurance.","התרגיל 'דדליפט-קלאסי' נועד לשפר את הכושר הגופני תוך מיקוד קבוצות שרירים ספציפיות. הוא משפר את החוזק, הגמישות והסיבולת הכללית."
חתירה מוט חופשי באחיזת פרונציה,,WEIGHT,standing,hard,Pronated Grip Barbell Row,"The exercise 'Pronated Grip Barbell Row' is designed to enhance physical fitness by targeting specific muscle groups. It improves strength, flexibility, and overall endurance.","התרגיל 'חתירה מוט חופשי באחיזת פרונציה' נועד לשפר את הכושר הגופני תוך מיקוד קבוצות שרירים ספציפיות. הוא משפר את החוזק, הגמישות והסיבולת הכללית."
חתירה מוט חופשי באחיזת סופינציה,https://www.youtube.com/watch?v=P6g-17KyPbg,WEIGHT,standing,hard,Supinated Grip Barbell Row,"The exercise 'Supinated Grip Barbell Row' is designed to enhance physical fitness by targeting specific muscle groups. It improves strength, flexibility, and overall endurance.","התרגיל 'חתירה מוט חופשי באחיזת סופינציה' נועד לשפר את הכושר הגופני תוך מיקוד קבוצות שרירים ספציפיות. הוא משפר את החוזק, הגמישות והסיבולת הכללית."
לחיצת חזה בפולי אמצע כבלים,,WEIGHT,seating,medium,Middle Cable Chest Press,"The exercise 'Middle Cable Chest Press' is designed to enhance physical fitness by targeting specific muscle groups. It improves strength, flexibility, and overall endurance.","התרגיל 'לחיצת חזה בפולי אמצע כבלים' נועד לשפר את הכושר הגופני תוך מיקוד קבוצות שרירים ספציפיות. הוא משפר את החוזק, הגמישות והסיבולת הכללית."
סקול-קראשר ביורק-פולי תחתון,,WEIGHT,standing,medium,Low Pulley Skull Crusher,"The exercise 'Low Pulley Skull Crusher' is designed to enhance physical fitness by targeting specific muscle groups. It improves strength, flexibility, and overall endurance.","התרגיל 'סקול-קראשר ביורק-פולי תחתון' נועד לשפר את הכושר הגופני תוך מיקוד קבוצות שרירים ספציפיות. הוא משפר את החוזק, הגמישות והסיבולת הכללית."
לחיצת חזה מוט חופשי אחיזה צרה,,WEIGHT,,hard,Close Grip Barbell bench Press,"The exercise 'Close Grip Barbell bench Press' is designed to enhance physical fitness by targeting specific muscle groups. It improves strength, flexibility, and overall endurance.","התרגיל 'לחיצת חזה מוט חופשי אחיזה צרה' נועד לשפר את הכושר הגופני תוך מיקוד קבוצות שרירים ספציפיות. הוא משפר את החוזק, הגמישות והסיבולת הכללית."
לחיצת חזה בפולי כבלים בשיפוע חיובי,https://www.youtube.com/watch?v=JUW5-Xne-Js,WEIGHT,supine,medium,Incline Cable Chest Press,"The exercise 'Incline Cable Chest Press' is designed to enhance physical fitness by targeting specific muscle groups. It improves strength, flexibility, and overall endurance.","התרגיל 'לחיצת חזה בפולי כבלים בשיפוע חיובי' נועד לשפר את הכושר הגופני תוך מיקוד קבוצות שרירים ספציפיות. הוא משפר את החוזק, הגמישות והסיבולת הכללית."
פרפר בפולי עליון,https://www.youtube.com/watch?v=2EGe9soq4Ek,WEIGHT,standing,medium,High cable fly,"The exercise 'High cable fly' is designed to enhance physical fitness by targeting specific muscle groups. It improves strength, flexibility, and overall endurance.","התרגיל 'פרפר בפולי עליון' נועד לשפר את הכושר הגופני תוך מיקוד קבוצות שרירים ספציפיות. הוא משפר את החוזק, הגמישות והסיבולת הכללית."
הרחקת כתפיים משקולות יד,https://www.youtube.com/watch?v=A58BHqktRpQ,WEIGHT,standing,low,Dumbbell Lateral Raise,"The exercise 'Dumbbell Lateral Raise' is designed to enhance physical fitness by targeting specific muscle groups. It improves strength, flexibility, and overall endurance.","התרגיל 'הרחקת כתפיים משקולות יד' נועד לשפר את הכושר הגופני תוך מיקוד קבוצות שרירים ספציפיות. הוא משפר את החוזק, הגמישות והסיבולת הכללית."
לחיצת חזה בקרוסאובר כבלים,https://www.youtube.com/watch?v=8gVT-Hge48M,WEIGHT,seating,medium,Cable Chest Press,"The exercise 'Cable Chest Press' is designed to enhance physical fitness by targeting specific muscle groups. It improves strength, flexibility, and overall endurance.","התרגיל 'לחיצת חזה בקרוסאובר כבלים' נועד לשפר את הכושר הגופני תוך מיקוד קבוצות שרירים ספציפיות. הוא משפר את החוזק, הגמישות והסיבולת הכללית."
לחיצת כתפיים משקולות יד בשיפוע חיובי,https://www.youtube.com/watch?v=MWZ21nR2ocE,WEIGHT,seating,medium,Incline Dumbbell Shoulder Press,"The exercise 'Incline Dumbbell Shoulder Press' is designed to enhance physical fitness by targeting specific muscle groups. It improves strength, flexibility, and overall endurance.","התרגיל 'לחיצת כתפיים משקולות יד בשיפוע חיובי' נועד לשפר את הכושר הגופני תוך מיקוד קבוצות שרירים ספציפיות. הוא משפר את החוזק, הגמישות והסיבולת הכללית."
סקול-קראשר חזה משקולות יד בשיפוע חיובי,https://www.youtube.com/watch?v=ZFrxYDulOZ8,WEIGHT,supine,medium,Incline Dumbbell Skull Crusher,"The exercise 'Incline Dumbbell Skull Crusher' is designed to enhance physical fitness by targeting specific muscle groups. It improves strength, flexibility, and overall endurance.","התרגיל 'סקול-קראשר חזה משקולות יד בשיפוע חיובי' נועד לשפר את הכושר הגופני תוך מיקוד קבוצות שרירים ספציפיות. הוא משפר את החוזק, הגמישות והסיבולת הכללית."
הרחקת כתפיים בקרוסאובר תחתון,https://www.youtube.com/watch?v=XnSHS38yFNE,WEIGHT,standing,medium,Low Cable Lateral Raise,"The exercise 'Low Cable Lateral Raise' is designed to enhance physical fitness by targeting specific muscle groups. It improves strength, flexibility, and overall endurance.","התרגיל 'הרחקת כתפיים בקרוסאובר תחתון' נועד לשפר את הכושר הגופני תוך מיקוד קבוצות שרירים ספציפיות. הוא משפר את החוזק, הגמישות והסיבולת הכללית."
כפיפת כתפיים משקולות יד,https://www.youtube.com/watch?v=UUciGHYZrPY,WEIGHT,standing,medium,Dumbbell Shoulder raise,"The exercise 'Dumbbell Shoulder raise' is designed to enhance physical fitness by targeting specific muscle groups. It improves strength, flexibility, and overall endurance.","התרגיל 'כפיפת כתפיים משקולות יד' נועד לשפר את הכושר הגופני תוך מיקוד קבוצות שרירים ספציפיות. הוא משפר את החוזק, הגמישות והסיבולת הכללית."
פרפר בפולי תחתון כבלים,https://www.youtube.com/watch?v=GyPENveX47c,WEIGHT,standing,medium,Low Cable Fly,"The exercise 'Low Cable Fly' is designed to enhance physical fitness by targeting specific muscle groups. It improves strength, flexibility, and overall endurance.","התרגיל 'פרפר בפולי תחתון כבלים' נועד לשפר את הכושר הגופני תוך מיקוד קבוצות שרירים ספציפיות. הוא משפר את החוזק, הגמישות והסיבולת הכללית."
חתירה מוט חופשי בעמידה,https://www.youtube.com/watch?v=skf-_cqtqn0,WEIGHT,standing,medium,Standing barbell Row,"The exercise 'Standing barbell Row' is designed to enhance physical fitness by targeting specific muscle groups. It improves strength, flexibility, and overall endurance.","התרגיל 'חתירה מוט חופשי בעמידה' נועד לשפר את הכושר הגופני תוך מיקוד קבוצות שרירים ספציפיות. הוא משפר את החוזק, הגמישות והסיבולת הכללית."
חתירה-רחבה משקולות יד,https://www.youtube.com/watch?v=DaUdcT3S2Pg,WEIGHT,,medium,Wide Grip Dumbbell Row,"The exercise 'Wide Grip Dumbbell Row' is designed to enhance physical fitness by targeting specific muscle groups. It improves strength, flexibility, and overall endurance.","התרגיל 'חתירה-רחבה משקולות יד' נועד לשפר את הכושר הגופני תוך מיקוד קבוצות שרירים ספציפיות. הוא משפר את החוזק, הגמישות והסיבולת הכללית."
כפיפת כתפיים מוט חופשי,https://www.youtube.com/watch?v=Wvb9k7hbpis,WEIGHT,standing,medium,Barbell front raise,"The exercise 'Barbell front raise' is designed to enhance physical fitness by targeting specific muscle groups. It improves strength, flexibility, and overall endurance.","התרגיל 'כפיפת כתפיים מוט חופשי' נועד לשפר את הכושר הגופני תוך מיקוד קבוצות שרירים ספציפיות. הוא משפר את החוזק, הגמישות והסיבולת הכללית."
סקול-קראשר מוט-W,https://www.youtube.com/watch?v=D1o5UjAh9pc,WEIGHT,standing,medium,W-Bar Skull Crusher,"The exercise 'W-Bar Skull Crusher' is designed to enhance physical fitness by targeting specific muscle groups. It improves strength, flexibility, and overall endurance.","התרגיל 'סקול-קראשר מוט-W' נועד לשפר את הכושר הגופני תוך מיקוד קבוצות שרירים ספציפיות. הוא משפר את החוזק, הגמישות והסיבולת הכללית."
כפיפות כתפיים בפולי תחתון,https://www.youtube.com/watch?v=90F1bquscN0,WEIGHT,standing,low,Low Pulley Shoulder raise,"The exercise 'Low Pulley Shoulder raise' is designed to enhance physical fitness by targeting specific muscle groups. It improves strength, flexibility, and overall endurance.","התרגיל 'כפיפות כתפיים בפולי תחתון' נועד לשפר את הכושר הגופני תוך מיקוד קבוצות שרירים ספציפיות. הוא משפר את החוזק, הגמישות והסיבולת הכללית."
פשיטת-מרפקים משקולות יד איבר-בודד,https://www.youtube.com/watch?v=sdrnhaoVLD0,WEIGHT,standing,medium,Single-Arm Dumbbell Tricep overhead Extension,"The exercise 'Single-Arm Dumbbell Tricep overhead Extension' is designed to enhance physical fitness by targeting specific muscle groups. It improves strength, flexibility, and overall endurance.","התרגיל 'פשיטת-מרפקים משקולות יד איבר-בודד' נועד לשפר את הכושר הגופני תוך מיקוד קבוצות שרירים ספציפיות. הוא משפר את החוזק, הגמישות והסיבולת הכללית."
לחיצת כתפיים מוט חופשי,https://www.youtube.com/watch?v=wqs6ctYNsB4,WEIGHT,seating,medium,Barbell Shoulder Press,"The exercise 'Barbell Shoulder Press' is designed to enhance physical fitness by targeting specific muscle groups. It improves strength, flexibility, and overall endurance.","התרגיל 'לחיצת כתפיים מוט חופשי' נועד לשפר את הכושר הגופני תוך מיקוד קבוצות שרירים ספציפיות. הוא משפר את החוזק, הגמישות והסיבולת הכללית."
הרחקה אופקית בפולי תחתון איבר-בודד,https://www.youtube.com/watch?v=xgTfSVuZFK8,WEIGHT,standing,medium,Single-Arm Low Pulley reverse fly,"The exercise 'Single-Arm Low Pulley reverse fly' is designed to enhance physical fitness by targeting specific muscle groups. It improves strength, flexibility, and overall endurance.","התרגיל 'הרחקה אופקית בפולי תחתון איבר-בודד' נועד לשפר את הכושר הגופני תוך מיקוד קבוצות שרירים ספציפיות. הוא משפר את החוזק, הגמישות והסיבולת הכללית."
הרחקה אופקית משקולות יד,https://www.youtube.com/watch?v=K9IFlzdnhcY,WEIGHT,seating,medium,Horizontal Dumbbell Row,"The exercise 'Horizontal Dumbbell Row' is designed to enhance physical fitness by targeting specific muscle groups. It improves strength, flexibility, and overall endurance.","התרגיל 'הרחקה אופקית משקולות יד' נועד לשפר את הכושר הגופני תוך מיקוד קבוצות שרירים ספציפיות. הוא משפר את החוזק, הגמישות והסיבולת הכללית."
חתירה-רחבה בפולי,https://www.youtube.com/watch?v=lkJABa-32p0,WEIGHT,,medium,Wide Grip Pulley Row,"The exercise 'Wide Grip Pulley Row' is designed to enhance physical fitness by targeting specific muscle groups. It improves strength, flexibility, and overall endurance.","התרגיל 'חתירה-רחבה בפולי' נועד לשפר את הכושר הגופני תוך מיקוד קבוצות שרירים ספציפיות. הוא משפר את החוזק, הגמישות והסיבולת הכללית."
לחיצת-כתפיים משקולות יד,https://www.youtube.com/watch?v=jFoFWYRnS5M,WEIGHT,seating,medium,Dumbbell Shoulder Press,"The exercise 'Dumbbell Shoulder Press' is designed to enhance physical fitness by targeting specific muscle groups. It improves strength, flexibility, and overall endurance.","התרגיל 'לחיצת-כתפיים משקולות יד' נועד לשפר את הכושר הגופני תוך מיקוד קבוצות שרירים ספציפיות. הוא משפר את החוזק, הגמישות והסיבולת הכללית."
לחיצת חזה בפולי עליון כבלים,https://www.youtube.com/watch?v=pbsnx6oRrq4,WEIGHT,,medium,High Cable Chest Press,"The exercise 'High Cable Chest Press' is designed to enhance physical fitness by targeting specific muscle groups. It improves strength, flexibility, and overall endurance.","התרגיל 'לחיצת חזה בפולי עליון כבלים' נועד לשפר את הכושר הגופני תוך מיקוד קבוצות שרירים ספציפיות. הוא משפר את החוזק, הגמישות והסיבולת הכללית."
פרפר בפולי אמצע כבלים,https://www.youtube.com/watch?v=x_aKH3hNFro,WEIGHT,seating,medium,Middle Cable Fly,"The exercise 'Middle Cable Fly' is designed to enhance physical fitness by targeting specific muscle groups. It improves strength, flexibility, and overall endurance.","התרגיל 'פרפר בפולי אמצע כבלים' נועד לשפר את הכושר הגופני תוך מיקוד קבוצות שרירים ספציפיות. הוא משפר את החוזק, הגמישות והסיבולת הכללית."
כפיפת כתפיים כנגד פולי תחתון איבר-בודד,https://www.youtube.com/watch?v=IEsVfs3EwgA,WEIGHT,standing,low,Single-Arm Low Pulley Shoulder raise,"The exercise 'Single-Arm Low Pulley Shoulder raise' is designed to enhance physical fitness by targeting specific muscle groups. It improves strength, flexibility, and overall endurance.","התרגיל 'כפיפת כתפיים כנגד פולי תחתון איבר-בודד' נועד לשפר את הכושר הגופני תוך מיקוד קבוצות שרירים ספציפיות. הוא משפר את החוזק, הגמישות והסיבולת הכללית."
מקבילים,https://www.youtube.com/watch?v=1R74IsyQX1I,WEIGHT,standing,hard,Dips,"The exercise 'Dips' is designed to enhance physical fitness by targeting specific muscle groups. It improves strength, flexibility, and overall endurance.","התרגיל 'מקבילים' נועד לשפר את הכושר הגופני תוך מיקוד קבוצות שרירים ספציפיות. הוא משפר את החוזק, הגמישות והסיבולת הכללית."
פשיטת-מרפקים בפולי עליון מוט,https://www.youtube.com/watch?v=4DM5LYAX6uQ,WEIGHT,standing,medium,Bar Cable Tricep Extension,"The exercise 'Bar Cable Tricep Extension' is designed to enhance physical fitness by targeting specific muscle groups. It improves strength, flexibility, and overall endurance.","התרגיל 'פשיטת-מרפקים בפולי עליון מוט' נועד לשפר את הכושר הגופני תוך מיקוד קבוצות שרירים ספציפיות. הוא משפר את החוזק, הגמישות והסיבולת הכללית."
סקול-קראשר משקולות יד,https://www.youtube.com/watch?v=EyK83maaig8,WEIGHT,standing,medium,Dumbbell Skull Crusher,"The exercise 'Dumbbell Skull Crusher' is designed to enhance physical fitness by targeting specific muscle groups. It improves strength, flexibility, and overall endurance.","התרגיל 'סקול-קראשר משקולות יד' נועד לשפר את הכושר הגופני תוך מיקוד קבוצות שרירים ספציפיות. הוא משפר את החוזק, הגמישות והסיבולת הכללית."
